game,num_purch,avg_hr
"Serious Sam Classic The Second Encounter",37,1
"Serious Sam Classics Revolution",37,0
"Global Agenda",37,37
"BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien",37,2
"Divine Souls",37,2
"PROTOTYPE 2",36,24
"Valkyria Chronicles",36,10
"Half-Life 2 Update",36,12
"Star Wars - Jedi Knight Mysteries of the Sith",36,8
"The Bridge",36,2
"Tiny and Big Grandpa's Leftovers",36,2
"Men of War Assault Squad",36,63
"Grand Chase",36,1
"Total War ATTILA",36,74
"Wargame AirLand Battle",36,42
"Commandos 2 Men of Courage",36,4
"Cities XL Platinum",36,11
"Batman Arkham Knight",36,15
"X-COM Enforcer",36,1
"X-COM Interceptor",36,5
"Space Hack",36,0
Batla,36,3
"Age of Wonders III",36,35
"THE KING OF FIGHTERS XIII STEAM EDITION",35,3
"Ori and the Blind Forest",35,16
Nidhogg,35,4
Spintires,35,27
"Bully Scholarship Edition",35,10
"Ben There, Dan That!",35,1
"Time Gentlemen, Please!",35,2
"Tomb Raider (VI) The Angel of Darkness",35,2
"Tomb Raider The Last Revelation",35,2
"Tropico 5",35,19
"Relic Hunters Zero",35,4
"Dwarfs F2P",35,3
"Face of Mankind",35,1
Teeworlds,35,2
"ACE - Arena Cyber Evolution",35,1
"Poker Night 2",35,5
"Infinity Wars - Animated Trading Card Game",35,6
"Farming Simulator 2013",35,67
HOARD,34,5
Dustforce,34,5
"E.Y.E Divine Cybermancy",34,5
"Max Payne 2 The Fall of Max Payne",34,9
Forge,34,1
"Tomb Raider Chronicles",34,2
"Tomb Raider III Adventures of Lara Croft",34,1
"Command and Conquer Red Alert 3",34,19
"Dragon Nest",34,32
"Sunrider Mask of Arcadius",34,3
"Soldier Front 2",34,7
"Card Hunter",34,4
"Yet Another Zombie Defense",34,2
"Elite Dangerous",34,74
Evolve,34,23
"Microsoft Flight Simulator X Steam Edition",34,19
"The Showdown Effect",34,3
"GRID Autosport",34,9
"Rise of the Argonauts",34,0
"Boring Man - Online Tactical Stickman Combat",34,4
"Kingdom Wars",34,8
"Sid Meier's Ace Patrol Pacific Skies",34,4
"Sid Meier's Ace Patrol",34,11
"Football Manager 2011",34,366
Prototype,33,17
"Breath of Death VII ",33,1
"MURDERED SOUL SUSPECT",33,5
"Shadowgrounds Survivor",33,3
"DiRT 2",33,11
"Wargame Red Dragon",33,44
"Pinball Arcade",33,1
"DRAGON BALL XENOVERSE",33,39
"Viking Battle for Asgard",33,4
"RAW - Realms of Ancient War",33,2
"MX vs. ATV Reflex",33,5
"Serious Sam 2",33,3
"Duke Nukem 3D Megaton Edition",33,4
"Strike Suit Zero",33,2
"DOOM 3 BFG Edition",33,17
"Max Payne",33,5
MapleStory,33,31
Lucius,33,4
"Borderlands 2 RU",33,48
"S.T.A.L.K.E.R. Clear Sky",32,19
"Hero Siege",32,17
"Hitman Contracts",32,1
"X3 Terran Conflict",32,9
"Toki Tori",32,3
"Back to the Future Ep 2 - Get Tannen!",32,2
"Back to the Future Ep 5 - OUTATIME",32,3
"Back to the Future Ep 1 - It's About Time",32,2
"Back to the Future Ep 4 - Double Visions",32,3
"Back to the Future Ep 3 - Citizen Brown",32,3
"Penumbra Overture",32,2
"Dead Bits",32,2
"Rocketbirds Hardboiled Chicken",32,2
"Shank 2",32,5
"Bad Rats",32,2
"DOOM 3",32,4
"Pirates, Vikings, & Knights II",32,9
Altitude,32,5
"Darksiders II Deathinitive Edition",32,2
"Alien Breed Impact",32,9
"The Plan",32,0
Skyborn,32,3
"Reign Of Kings",32,37
Depth,32,9
"Next Car Game Wreckfest",31,4
"Rise of Nations Extended Edition",31,9
"One Finger Death Punch",31,8
"Democracy 3",31,5
"Resident Evil Revelations / Biohazard Revelations",31,6
"The Long Dark",31,11
"Five Nights at Freddy's 2",31,3
"Bejeweled 3",31,15
"Alpha Protocol",31,4
"Construct 2 Free",31,3
"EverQuest II",31,12
"Shadow Warrior Classic (1997)",31,0
"Farming Simulator 15",31,71
"Thief 2",31,2
Confrontation,31,1
"Painkiller Hell & Damnation",31,3
"Sacred Citadel",31,9
"Spore Galactic Adventures",31,17
"Divine Divinity",31,4
"Euro Truck Simulator",31,1
Unepic,30,9
"Beatbuddy Tale of the Guardians",30,2
Capsized,30,1
"LEGO Worlds",30,6
"Kane & Lynch Dead Men",30,3
Ragnarok,30,1
"EVE Online",30,35
"Red Faction",30,2
"Frontline Tactics",30,23
Saira,30,0
"The Forgotten Ones",30,0
"Lost Planet Extreme Condition",30,3
"Resident Evil Revelations 2 / Biohazard Revelations 2",30,10
"Worms Crazy Golf",30,1
ArcaniA,30,6
Broforce,30,26
"Chaos Domain",30,0
"Realms of the Haunting",30,0
"Might & Magic Duel of Champions",30,105
"Loadout Campaign Beta",30,5
"Viscera Cleanup Detail Santa's Rampage",30,5
"The Culling Of The Cows",30,2
"FINAL FANTASY XIII",29,22
"The Talos Principle",29,18
Shatter,29,3
"Deus Ex The Fall",29,2
Rochard,29,2
Stacking,29,6
"Costume Quest",29,4
"Sam & Max 301 The Penal Zone",29,1
"Sam & Max 302 The Tomb of Sammun-Mak",29,3
"Sam & Max 303 They Stole Max's Brain!",29,3
"Sam & Max 304 Beyond the Alley of the Dolls",29,3
"Sam & Max 305 The City that Dares not Sleep",29,3
"Puzzle Agent",29,4
"Hard Reset",29,5
"Commandos 3 Destination Berlin",29,1
"Amazing World",29,2
"Red Faction II",29,4
"Age of Empires Online",29,83
Mabinogi,29,124
"Reversion - The Escape",29,2
"Game of Thrones - A Telltale Games Series",29,15
"Prime World",29,169
RaiderZ,29,3
Blackguards,29,20
"Combat Arms",29,18
"DOOM II Hell on Earth",29,3
"Master Levels for DOOM II",29,2
"Take On Helicopters",29,8
"Next Car Game Sneak Peek 2.0",28,1
"Rock of Ages",28,2
Proteus,28,0
Bulletstorm,28,13
"METAL SLUG 3",28,4
"Revenge of the Titans",28,3
Gish,28,1
Aquaria,28,4
"Papo & Yo",28,3
"Tower Wars",28,5
"Hazard Ops",28,6
Creativerse,28,8
"Audition Online",28,2
Caster,28,1
"Lost Planet 3",28,11
"Baldur's Gate Enhanced Edition",28,135
"Nosferatu The Wrath of Malachi",28,2
"Pinball FX2",28,16
"Rocksmith 2014",28,69
McPixel,28,3
X-Blades,28,3
"Beyond Divinity",28,1
Eldevin,27,23
"Mad Max",27,17
"The Vanishing of Ethan Carter",27,4
"Battlestations Midway",27,6
"The Vanishing of Ethan Carter Redux",27,0
"A Virus Named TOM",27,2
"Atom Zombie Smasher ",27,6
"Monkey Island 2 Special Edition",27,7
"Octodad Dadliest Catch",27,6
"Football Manager 2016",27,85
"Test Drive Unlimited 2",27,29
